Protocol,NFlows,Delay (ms),Aggregate Goodput (Mbps)
TcpCubic,1,50,0.630584
TcpCubic,1,100,0.495515
TcpCubic,1,150,0.420734
TcpCubic,1,200,0.372554
TcpCubic,1,250,0.335208
TcpCubic,1,300,0.314415
TcpCubic,2,50,1.03086
TcpCubic,2,100,1.02884
TcpCubic,2,150,1.00889
TcpCubic,2,200,0.921056
TcpCubic,2,250,0.9419
TcpCubic,2,300,0.782297
TcpCubic,4,50,1.04214
TcpCubic,4,100,1.04007
TcpCubic,4,150,1.03116
TcpCubic,4,200,1.00299
TcpCubic,4,250,0.981184
TcpCubic,4,300,0.937255
TcpNewReno,1,50,0.502129
TcpNewReno,1,100,0.500153
TcpNewReno,1,150,0.264392
TcpNewReno,1,200,0.209873
TcpNewReno,1,250,0.170151
TcpNewReno,1,300,0.138858
TcpNewReno,2,50,0.920753
TcpNewReno,2,100,0.625773
TcpNewReno,2,150,0.369708
TcpNewReno,2,200,0.276726
TcpNewReno,2,250,0.227619
TcpNewReno,2,300,0.221811
TcpNewReno,4,50,1.03478
TcpNewReno,4,100,0.833794
TcpNewReno,4,150,0.662744
TcpNewReno,4,200,0.61585
TcpNewReno,4,250,0.574995
TcpNewReno,4,300,0.535208
